Odczuwalna,Ciśnienie,Wilgotność,Zwykla temperatura,Opis pogody,Miejsce,Prędkosc wiatru,Data pomiaru,Zwykła temperatura,Prędkość wiatru
23.13,1016,58,23.24,few clouds,Lisbon,22.21,2025-07-09 19:46:12.893077,,
23.0,1016,57,23.14,few clouds,Lisbon,16.67,2025-07-09 19:46:58.266589,,
22.35,1016,62,22.43,few clouds,Lisbon,16.67,2025-07-09 20:56:24.776290,,
22.35,1016,62,22.43,few clouds,Lisbon,16.67,2025-07-09 20:56:59.279749,,
22.35,1016,62,22.43,few clouds,Lisbon,16.67,2025-07-09 20:57:09.476000,,
22.09,1016,61,22.22,few clouds,Lisbon,16.67,2025-07-09 20:57:19.702455,,
22.09,1016,61,22.22,few clouds,Lisbon,16.67,2025-07-09 20:57:29.905145,,
27.66,1018,41,27.92,clear sky,Lisbon,22.21,2025-07-17 16:40:31.260915,,
27.66,1018,41,27.92,clear sky,Lisbon,22.21,2025-07-17 16:40:41.602798,,
27.66,1018,41,27.92,clear sky,Lisbon,22.21,2025-07-17 16:40:51.823881,,
27.66,1018,41,27.92,clear sky,Lisbon,22.21,2025-07-17 16:41:02.079437,,
27.69,1018,41,27.95,clear sky,Lisbon,25.92,2025-07-17 17:12:07.416595,,
28.12,1018,35,,clear sky,Lisbon,,2025-07-17 17:23:06.928524,28.91,29.63
28.12,1018,35,,clear sky,Lisbon,,2025-07-17 17:23:37.235611,28.91,29.63
27.69,1018,41,,clear sky,Lisbon,,2025-07-17 17:24:10.460710,27.95,25.92
27.69,1018,41,,clear sky,Lisbon,,2025-07-17 17:24:20.745421,27.95,25.92
27.69,1018,41,,clear sky,Lisbon,,2025-07-17 17:24:30.930139,27.95,25.92
27.69,1018,41,,clear sky,Lisbon,,2025-07-17 17:24:41.141916,27.95,25.92
